era,card_no,name,name_cn,type,ops,effect_summary,removed_after_event,notes
Early War,22,Independent Reds,独立红人,USA,2,在任意一个与美国不相邻的欧洲国家添加足够美国影响力使其被美国控制,,
Early War,23,Marshall Plan,马歇尔计划,USA,3,在最多7个未受苏联控制的西欧国家各添加1点美国影响力,Y,
Early War,24,Indo-Pakistani War,印巴战争,Neutral,2,"双方各掷一骰；高者在任意两个相邻国家各添加2点影响力",,
Early War,25,Containment,遏制,USA,3,本回合所有美国打出的牌Ops+1,N,
Early War,26,NATO,北约,USA,4,"苏联不能对受控的美国欧洲国家发动政变；马歇尔计划或华约成立已结算时才能打出",Y,
Early War,27,US-Japan Mutual Defense Pact,美日安保条约,USA,4,在日本添加足够美国影响力使其被美国控制,Y,
Early War,28,CIA Created,CIA成立,USA,1,查看苏联所有手牌；本回合美国政变行动Ops+1,N,
Early War,29,Nuclear Test Ban,禁止核试验条约,Neutral,4,DEFCON提高2级；双方各获得等于当前DEFCON等级的VP,,
Early War,30,Formosan Resolution,台湾决议案,USA,2,在台湾添加足够美国影响力使其被美国控制；Taiwan Strait新增为战场国,Y,
Early War,31,Defectors,叛逃者,USA,2,苏联手牌中若有美国的牌则获得1VP；苏联若有计分牌则苏联直接打出该计分牌,,
Early War,32,Suez Crisis,苏伊士运河危机,USSR,3,"从法国、英国、以色列各移除1/3点美国影响力",Y,
Early War,33,De-Stalinization,去斯大林化,USSR,3,从任意国家移除最多4点苏联影响力重新分配到其他国家,N,
Early War,34,NORAD,北美防空司令部,USA,3,每当DEFCON降为2时在任意拥有美国影响力的国家添加1点美国影响力,N,
Early War,35,The Cambridge Five,剑桥五杰,USSR,2,查看美国所有手牌；苏联可以从计分牌区域计分一次（不打出计分牌）,N,
Early War,36,Special Relationship,特殊关系,USA,2,"若美国控制英国且北约已生效，则在任意与美国相邻的国家添加2点美国影响力",Y,
Early War,37,Red Scare/Purge,红色恐慌/大清洗,Neutral,4,对手本回合所有行动卡Ops-1,N,
Early War,38,Colonial Rear Guards,殖民地后卫,USSR,2,"在最多4个非洲和/或东南亚国家各添加1点苏联影响力",,
Mid War,39,Southeast Asia Scoring,东南亚计分,Scoring,,统计东南亚存在度并计分,N,Deck contains 1 copy
Mid War,40,Decolonization,非殖民化,USSR,2,"在最多4个非洲和/或东南亚国家各添加1点苏联影响力",,
Mid War,41,OPEC,欧佩克,USSR,3,"获得等于苏联控制中东战场国数量的VP",N,
Mid War,42,Liberation Theology,解放神学,USSR,2,"在最多3个中美洲国家各添加1点苏联影响力",Y,
Mid War,43,Portuguese Empire Crumbles,葡萄牙帝国崩溃,USSR,2,在安哥拉和莫桑比克各添加2点苏联影响力,,
Mid War,44,South African Unrest,南非动乱,USSR,2,"在南非添加1点苏联影响力；若南非受美国控制则额外添加1点",,
Mid War,45,Allende,阿连德,USSR,2,在智利添加2点苏联影响力,,
Mid War,46,Brezhnev Doctrine,勃列日涅夫主义,USSR,3,本回合苏联所有政变行动Ops+1,N,
Mid War,47,Cuban Missile Crisis,古巴导弹危机,USSR,3,"将DEFCON设为2；本轮若DEFCON降至1，苏联输掉游戏",Y,
Mid War,48,Quagmire,泥潭,USSR,3,美国每轮行动必须弃掉一张行动牌掷骰；弃牌Ops≥骰点才可执行正常行动；否则只能执行一次行动,Y,
Mid War,49,Cultural Revolution,文化大革命,USSR,3,中国牌持有者在中国牌在亚洲生效时额外+1Ops；若持有者为美国则移交给苏联,N,
Mid War,50,We Will Bury You,我们将埋葬你,USSR,4,"DEFCON降低1级；若DEFCON未降至1，在最多3个国家各添加1点苏联影响力",N,
Mid War,51,Muslim Revolution,穆斯林革命,USSR,4,在最多2个穆斯林统治的战场国移除所有美国影响力并添加2点苏联影响力,,
Mid War,52,Nuclear Subs,核潜艇,USSR,2,苏联本回合对战场国的政变行动Ops+1,N,
Mid War,53,Bear Trap,熊陷阱,USA,3,苏联每轮行动必须弃掉一张行动牌掷骰；弃牌Ops≥骰点才可执行正常行动；否则只能执行一次行动,Y,
Mid War,54,Kitchen Debates,厨房辩论,USA,1,"若美国在太空竞赛领先则获得1VP；若在太空竞赛领先且控制更多战场国则额外获得1VP",,
Mid War,55,The Voice of America,美国之音,USA,2,从最多4个非欧洲国家各移除1点苏联影响力,,
Mid War,56,Puppet Governments,傀儡政府,USA,2,在最多3个中立的非战场国各添加1点美国影响力,,
Mid War,57,Camp David Accords,戴维营协议,USA,2,在以色列和埃及各添加1点美国影响力；以色列-埃及不能再被阿以战争攻击,Y,
Mid War,58,Sadat Expels Soviets,萨达特驱逐苏联,USA,2,移除埃及所有苏联影响力；在埃及添加1点美国影响力,,
Mid War,59,Shuttle Diplomacy,穿梭外交,USA,3,"本回合双方在中东或亚洲执行政变或调整阵营时，对方的Ops减1",N,
Mid War,60,SALT Negotiations,限武谈判,USA,3,DEFCON提高2级；本回合双方政变行动Ops-1,N,
Mid War,61,Summit,峰会,USA,1,双方各掷一骰并加上各自控制的区域数量；高者获得2VP,,
Mid War,62,How I Learned to Stop Worrying,我如何学会停止恐惧,USA,2,DEFCON任意设置（1-5）；美国获得等于5减新DEFCON等级的VP,,
Mid War,63,Junta,军政府,USA,2,在任意一个中美洲或南美洲国家添加2点美国影响力并进行一次免费政变,,
Mid War,64,Pope John Paul II Elected,若望保禄二世当选,USA,2,在波兰移除2点苏联影响力并添加1点美国影响力；若波兰已受美国控制则在任意东欧国家添加1点美国影响力,,
Mid War,65,Arms Race,军备竞赛,Neutral,3,"比较双方军事行动值；高者获得1VP；若差值≥3则改为获得3VP",,
Mid War,66,Brush War,灌木丛战争,Neutral,3,"攻击一个稳定值≤2的战场国：掷d6，≥3+(相邻国家控制修正)则成功；成功方在该国添加3点影响力并移除对方所有影响力",,
Mid War,67,Missile Envy,导弹嫉妒,Neutral,2,与对手交换手牌中Ops最高的一张牌；获得该牌事件或Ops；对手获得1VP,,
Mid War,68,Lone Gunman,独行枪手,Neutral,1,秘密查看对手的所有手牌,,
Mid War,69,ABM Treaty,反弹道导弹条约,Neutral,4,DEFCON提高1级；本回合政变行动Ops调整为双方各4Ops,,
Mid War,70,U2 Incident,U2事件,Neutral,3,"若联合国干预牌已打出且移出游戏，苏联获得1VP；否则美国弃掉一张牌且DEFCON降低1级",,
Mid War,71,Panama Canal Returned,归还巴拿马运河,USSR,2,在巴拿马添加1点苏联影响力；在哥斯达黎加添加1点苏联影响力,,
Mid War,72,Flower Power,花权运动,USSR,4,每当美国在亚洲执行政变或战争事件时苏联获得1VP,N,
Mid War,73,Ask Not What Your Country Can Do For You,不要问你的国家能为你做什么,USA,3,查看手牌顶3张牌；可以选择弃掉这些牌并重摸同等数量,,
Mid War,74,Central America Scoring,中美洲计分,Scoring,,统计中美洲存在度并计分,N,Deck contains 1 copy
Mid War,75,Africa Scoring,非洲计分,Scoring,,统计非洲存在度并计分,N,Deck contains 1 copy
Mid War,76,South America Scoring,南美洲计分,Scoring,,统计南美洲存在度并计分,N,Deck contains 1 copy
Late War,77,Grain Sales to Soviets,对苏粮食销售,USA,2,随机抽取苏联一张手牌；可选择结算该牌事件或使用其Ops；苏联获得该牌Ops-1的VP,,
Late War,78,The Iron Lady,铁娘子,USA,2,在英国添加1点美国影响力；在阿根廷移除1点苏联影响力,,
Late War,79,Solidarity,团结工会,USA,2,在波兰添加3点美国影响力,,
Late War,80,Iran Hostage Crisis,伊朗人质危机,USA,3,移除伊朗所有苏联影响力；在伊朗添加2点美国影响力,,
Late War,81,Star Wars,星球大战,USA,3,美国在太空竞赛中免费前进2格（不掷骰）,,
Late War,82,Reagan Bombs Libya,里根轰炸利比亚,USA,2,在利比亚移除所有苏联影响力并添加2点美国影响力,,
Late War,83,Tear Down This Wall,推倒这堵墙,USA,3,在东德移除3点苏联影响力并添加3点美国影响力；在任意东欧国家进行一次免费调整阵营,,
Late War,84,Marine Barracks Bombing,海军陆战队军营爆炸,USSR,2,移除中东所有美国影响力；美国需弃掉一张≥2Ops的牌否则DEFCON降1级,,
Late War,85,Iran-Contra Scandal,伊朗门丑闻,USSR,2,美国必须公开全部手牌,,
Late War,86,Willy Brandt,维利·勃兰特,USSR,2,在西德添加1点苏联影响力,,
Late War,87,Ortega Elected in Nicaragua,奥尔特加当选,USSR,2,在尼加拉瓜移除所有美国影响力并添加足够苏联影响力使其被苏联控制,,
Late War,88,Chernobyl,切尔诺贝利,USSR,3,美国必须弃掉一张≥2Ops的牌否则DEFCON在下次苏联行动时降为1,Y,
Late War,89,Latin American Death Squads,拉美敢死队,USSR,2,对手本回合在中美洲和南美洲的政变行动Ops-1,,
Late War,90,Aldrich Ames Remix,奥尔德里奇·艾姆斯,USSR,3,查看美国所有手牌；将一张美国手牌加入苏联手牌,,
Late War,91,Terrorism,恐怖主义,Neutral,2,掷骰1-3对手弃1张随机牌；4-6对手弃2张随机牌,,
Late War,92,Pershing II Deployed,部署潘兴II,USA,2,在西德添加3点美国影响力,,
Late War,93,The Reformer,改革者,USSR,3,"欧洲战场国的调整阵营行动+2调整值；若该牌被美国作为事件打出，苏联获得6VP",,
Late War,94,An Evil Empire,邪恶帝国,USA,3,在任意含有苏联影响力的国家进行最多3次免费政变,,
Late War,95,North Sea Oil,北海石油,USA,3,美国获得8点Ops；但此后美国必须跳过其下一回合的全部行动阶段,N,
Late War,96,Wargames,战争游戏,Neutral,2,双方各掷一骰；若总和的VP领先者达到游戏结束条件则游戏立即结束,,
Late War,97,Central America Scoring,中美洲计分,Scoring,,统计中美洲存在度并计分,N,Deck contains 1 copy
Late War,98,Africa Scoring,非洲计分,Scoring,,统计非洲存在度并计分,N,Deck contains 1 copy
Late War,99,South America Scoring,南美洲计分,Scoring,,统计南美洲存在度并计分,N,Deck contains 1 copy
Late War,100,Southeast Asia Scoring,东南亚计分,Scoring,,统计东南亚存在度并计分,N,Deck contains 1 copy
,,Europe Scoring,欧洲计分,Scoring,,统计欧洲存在度并计分,N,所有时期均存在于牌库
,,Asia Scoring,亚洲计分,Scoring,,统计亚洲存在度并计分,N,所有时期均存在于牌库
,,Middle East Scoring,中东计分,Scoring,,统计中东存在度并计分,N,所有时期均存在于牌库
